Supercolony,Yr.Dec,Area.ha
IC Crescencio Morales,2018,0
PP San Andres,2004,0
PP San Andres,2005,0.22
PP San Andres,2006,0
PP San Andres,2007,0.31
PP San Andres,2008,0.03
PP San Andres,2009,0.04
PP San Andres,2010,0.1
PP San Andres,2011,0.1
PP San Andres,2012,0.01
PP San Andres,2013,0
PP San Andres,2014,0
PP San Andres,2015,0.25
PP San Andres,2016,0.07
PP San Andres,2017,0.08
PP San Andres,2018,0.04
Rio de Parras,2004,0
Rio de Parras,2005,0.28
Rio de Parras,2006,0.07
Rio de Parras,2007,0.27
Rio de Parras,2008,0.13
Rio de Parras,2009,0
Rio de Parras,2010,0.28
Rio de Parras,2011,0.04
Rio de Parras,2012,0
Rio de Parras,2013,0
Rio de Parras,2014,0.03
Rio de Parras,2015,0.18
Rio de Parras,2016,0.02
Rio de Parras,2017,0
Rio de Parras,2018,0.03
San Antonio Albarranes,2004,0.35
San Antonio Albarranes,2005,0.56
San Antonio Albarranes,2006,0.17
San Antonio Albarranes,2007,0.4
San Antonio Albarranes,2008,0.19
San Antonio Albarranes,2009,0.03
San Antonio Albarranes,2010,0.2
San Antonio Albarranes,2011,0.19
San Antonio Albarranes,2012,0.11
San Antonio Albarranes,2013,0.02
San Antonio Albarranes,2014,0.07
San Antonio Albarranes,2015,0.3
San Antonio Albarranes,2016,0.33
San Antonio Albarranes,2017,0.68
San Antonio Albarranes,2018,0.48
San Francisco Oxtotilpan,2004,0.1
San Francisco Oxtotilpan,2005,0.11
San Francisco Oxtotilpan,2006,0.1
San Francisco Oxtotilpan,2007,0
San Francisco Oxtotilpan,2008,0.01
San Francisco Oxtotilpan,2009,0
San Francisco Oxtotilpan,2010,0.1
San Francisco Oxtotilpan,2011,0.05
San Francisco Oxtotilpan,2012,0.02
San Francisco Oxtotilpan,2013,0
San Francisco Oxtotilpan,2014,0.02
San Francisco Oxtotilpan,2015,0.14
San Francisco Oxtotilpan,2016,0.13
San Francisco Oxtotilpan,2017,0.04
San Francisco Oxtotilpan,2018,0.2
San Mateo Almomoloa,2004,0.14
San Mateo Almomoloa,2005,0.17
San Mateo Almomoloa,2006,0.27
San Mateo Almomoloa,2007,0.41
San Mateo Almomoloa,2008,0.18
San Mateo Almomoloa,2009,0.06
San Mateo Almomoloa,2010,0.25
San Mateo Almomoloa,2011,0.14
San Mateo Almomoloa,2012,0.12
San Mateo Almomoloa,2013,0.03
San Mateo Almomoloa,2014,0.09
San Mateo Almomoloa,2015,0.23
San Mateo Almomoloa,2016,0.14
San Mateo Almomoloa,2017,0.18
San Mateo Almomoloa,2018,0.25
Sierra Chincua,2004,0.2
Sierra Chincua,2005,0.57
Sierra Chincua,2006,1.34
Sierra Chincua,2007,0.29
Sierra Chincua,2008,1.59
Sierra Chincua,2009,0.47
Sierra Chincua,2010,0.44
Sierra Chincua,2011,0.27
Sierra Chincua,2012,0.18
Sierra Chincua,2013,0.02
Sierra Chincua,2014,0.1
Sierra Chincua,2015,0.89
Sierra Chincua,2016,0.59
Sierra Chincua,2017,0.12
Sierra Chincua,2018,0.58
Ojo de Agua,2018,0.07
Cerro Pelon E,2019,0.719
Cerro Pelon W,2019,0
E Contepec,2019,0
E El Rosario,2019,1.274
E La Mesa,2019,0.19
IC Carpinteros,2019,0
IC Crescencio Morales,2019,0
PP San Andres,2019,0.046
Rio de Parras,2019,0
San Antonio Albarranes,2019,0.162
San Francisco Oxtotilpan,2019,0.029
San Mateo Almomoloa,2019,0.081
Sierra Chincua,2019,0.275
Ojo de Agua,2019,0.049
E El Potrero,2019,0.001
